Id,Prediction
0,1328
1,5352
2,2720
3,3440
4,6614
5,9839
6,5905
7,6188
8,2645
9,1954
10,2510
11,6001
12,2342
13,2820
14,10440
15,2997
16,1724
17,5553
18,4039
19,9110
20,2442
21,2254
22,8131
23,2888
24,6469
25,2860
26,1763
27,2996
28,2735
29,4181
30,1656
31,3506
32,2956
33,28223
34,2726
35,1783
36,2358
37,6211
38,1230
39,2375
40,1347
41,5948
42,1027
43,3267
44,1122
45,1660
46,2060
47,2531
48,4957
49,2549
50,7539
51,8876
52,2432
53,4464
54,2880
55,7180
56,3692
57,1457
58,2709
59,6814
60,6761
61,2945
62,4493
63,1390
64,3207
65,1702
66,1510
67,3521
68,1246
69,1758
70,2516
71,3320
72,2066
73,7735
74,2405
75,1521
76,2279
77,3283
78,1192
79,3384
80,3107
81,3615
82,4626
83,1918
84,2164
85,2332
86,3671
87,2877
88,3654
89,1932
90,2609
91,2274
92,1890
93,3895
94,2613
95,2132
96,2810
97,3913
98,4468
99,2860
100,2763
101,1848
102,3859
103,5280
104,1705
105,2081
106,7703
107,5815
108,1144
109,3649
110,2349
111,2149
112,1546
113,10063
114,951
115,3165
116,3401
117,5705
118,3616
119,5006
120,2545
121,1440
122,1140
123,4034
124,2692
125,3361
126,4329
127,4251
128,7806
129,3946
130,1179
131,3089
132,5756
133,2091
134,2661
135,2152
136,7720
137,2423
138,2232
139,8560
140,2072
141,1983
142,10746
143,3035
144,2566
145,6058
146,3442
147,6808
148,4344
149,4166
150,3068
151,3504
152,2986
153,4535
154,3541
155,8452
156,7865
157,4511
158,1939
159,3171
160,2368
161,5649
162,2204
163,7840
164,8746
165,2758
166,2862
167,2537
168,4229
169,4592
170,8375
171,2672
172,2397
173,3220
174,2611
175,2505
176,1611
177,2254
178,1569
179,4172
180,5822
181,3876
182,4738
183,1317
184,1342
185,9989
186,1858
187,2469
188,3204
189,6623
190,3321
191,2486
192,4008
193,2105
194,4129
195,2313
196,2842
197,3152
198,3444
199,3714
200,2931
201,2183
202,2526
203,1756
204,2248
205,3418
206,4098
207,1303
208,3778
209,7303
210,3109
211,4090
212,3085
213,4325
214,2296
215,1635
216,1720
217,2035
218,5250
219,1957
220,2778
221,2526
222,1432
223,4651
224,1342
225,2639
226,6301
227,3248
228,2766
229,2037
230,1701
231,1844
232,3159
233,1845
234,4172
235,4031
236,4629
237,4754
238,2604
239,7498
240,3134
241,3492
242,2223
243,4849
244,1426
245,3595
246,1309
247,6865
248,2739
249,1776
250,6279
251,4203
252,2672
253,2906
254,3979
255,1922
256,2729
257,2872
258,2078
259,4785
260,4005
261,8642
262,4786
263,4928
264,3526
265,5743
266,5475
267,2382
268,7080
269,6745
270,1620
271,1680
272,2016
273,2277
274,2574
275,7146
276,4058
277,5526
278,3469
279,3500
280,3420
281,7791
282,5194
283,1726
284,4735
285,2833
286,19771
287,2407
288,2427
289,9015
290,3267
291,12534
292,1907
293,2356
294,3068
295,3198
296,5414
297,4167
298,2164
299,1460
300,7014
301,2020
302,3743
303,3111
304,2663
305,2727
306,2521
307,4037
308,8902
309,4141
310,5704
311,5159
312,22927
313,1620
314,1850
315,1406
316,4085
317,1444
318,1552
319,2472
320,3324
321,3552
322,2853
323,6677
324,1102
325,10955
326,1903
327,1777
328,3434
329,2831
330,12687
331,2522
332,3472
333,2093
334,4939
335,3589
336,10333
337,2832
338,2864
339,6006
340,2914
341,1234
342,2478
343,2841
344,3401
345,19412
346,11403
347,2297
348,4439
349,2411
350,2334
351,3436
352,3266
353,1585
354,9818
355,5155
356,6106
357,1921
358,2083
359,7189
360,3022
361,1949
362,2229
363,2343
364,1929
365,2235
366,1584
367,9813
368,6189
369,2925
370,2796
371,3363
372,3128
373,1667
374,1664
375,2372
376,4200
377,1795
378,6196
379,1712
380,3679
381,1773
382,1680
383,6269
384,4720
385,1655
386,1896
387,3086
388,3995
389,3131
390,4094
391,8425
392,3743
393,1710
394,3129
395,3023
396,1115
397,3952
398,3228
399,8667
400,4801
401,24906
402,5959
403,2771
404,3920
405,7144
406,1907
407,2384
408,2591
409,2746
410,3486
411,2351
412,6025
413,4652
414,4971
415,2576
416,3306
417,2812
418,3002
419,4692
420,2419
421,5195
422,4199
423,1378
424,2303
425,1937
426,3958
427,1528
428,8436
429,28866
430,1839
431,2096
432,4805
433,4382
434,2784
435,5883
436,2700
437,7429
438,4856
439,2869
440,7025
441,2741
