Id,Prediction
0,2203
1,6295
2,1954
3,3508
4,6291
5,6955
6,3291
7,3046
8,1301
9,1724
10,1688
11,2630
12,4487
13,2822
14,3507
15,1873
16,1612
17,6241
18,2729
19,6903
20,2472
21,2847
22,3880
23,1761
24,3939
25,2310
26,1426
27,1852
28,3245
29,5180
30,1424
31,2357
32,2797
33,5117
34,1617
35,1609
36,2542
37,4238
38,1464
39,2133
40,1408
41,3179
42,1171
43,2211
44,1312
45,1422
46,1759
47,1986
48,6063
49,1666
50,2631
51,4123
52,2412
53,1694
54,2860
55,2263
56,5565
57,1699
58,6219
59,2093
60,2602
61,2118
62,2438
63,1177
64,2613
65,1472
66,1548
67,2727
68,1415
69,1228
70,1577
71,3041
72,1779
73,2982
74,1864
75,1715
76,1371
77,2097
78,1699
79,3816
80,4211
81,2594
82,10624
83,4269
84,1970
85,1865
86,4126
87,1597
88,2283
89,1672
90,2883
91,1651
92,2108
93,3435
94,6168
95,1628
96,2797
97,3916
98,2365
99,3563
100,2558
101,2017
102,4077
103,9985
104,2505
105,1796
106,4190
107,9641
108,1549
109,1833
110,1756
111,4491
112,1538
113,2678
114,2136
115,3235
116,2464
117,2439
118,2373
119,2809
120,1558
121,2691
122,2085
123,2180
124,2310
125,1905
126,2053
127,4610
128,1994
129,3952
130,1436
131,3951
132,3048
133,1401
134,1287
135,1764
136,5107
137,1710
138,1587
139,9672
140,3972
141,1484
142,6369
143,2168
144,2842
145,1890
146,2902
147,1816
148,3214
149,3887
150,6979
151,3356
152,3677
153,2206
154,2789
155,2035
156,4343
157,6975
158,2074
159,2132
160,2348
161,2754
162,1716
163,5092
164,3289
165,4769
166,2635
167,2328
168,1511
169,2076
170,7846
171,2942
172,2019
173,2096
174,2301
175,2123
176,1705
177,2882
178,1582
179,2262
180,7122
181,5622
182,3174
183,1703
184,2864
185,1905
186,1855
187,1428
188,2186
189,8112
190,1822
191,3866
192,5673
193,2131
194,4191
195,2079
196,2382
197,3103
198,4810
199,3412
200,1520
201,2111
202,2020
203,3037
204,2915
205,2067
206,2861
207,4140
208,3433
209,8127
210,2735
211,6058
212,1510
213,1613
214,6007
215,1283
216,1905
217,1879
218,6241
219,1694
220,3209
221,3342
222,1416
223,1455
224,1824
225,2325
226,3972
227,2837
228,2073
229,1402
230,1421
231,2510
232,1867
233,1894
234,1705
235,1726
236,2226
237,3438
238,3199
239,5753
240,2370
241,2780
242,1788
243,8977
244,1492
245,2404
246,3595
247,11860
248,2049
249,2180
250,3190
251,3622
252,1880
253,3492
254,2766
255,1662
256,2027
257,2030
258,1530
259,7924
260,6021
261,3616
262,5730
263,5862
264,1702
265,3896
266,1640
267,1920
268,3418
269,2204
270,1907
271,2667
272,3014
273,2947
274,1963
275,5390
276,2458
277,2523
278,6816
279,2478
280,3087
281,2071
282,4064
283,2108
284,2224
285,1553
286,6220
287,1357
288,1585
289,2084
290,3959
291,8033
292,1232
293,2168
294,3098
295,1986
296,2647
297,6848
298,1371
299,1848
300,5859
301,1511
302,1287
303,3402
304,1901
305,2572
306,3409
307,2196
308,5745
309,3549
310,2641
311,2418
312,9067
313,1449
314,1256
315,1602
316,3981
317,1430
318,6209
319,2412
320,4051
321,1731
322,1911
323,8297
324,1330
325,4223
326,2286
327,1712
328,2860
329,2443
330,4244
331,2835
332,2062
333,3054
334,3754
335,3683
336,4488
337,1871
338,1622
339,3551
340,1796
341,1613
342,2112
343,2389
344,2298
345,5217
346,7937
347,6177
348,5938
349,2674
350,6353
351,2315
352,4212
353,1658
354,2095
355,5028
356,6465
357,1918
358,1835
359,8153
360,2580
361,2457
362,2145
363,1955
364,1881
365,1428
366,1479
367,3710
368,1700
369,1765
370,2663
371,2231
372,2620
373,2012
374,3092
375,1951
376,4264
377,1245
378,5254
379,1693
380,2824
381,1509
382,1966
383,6855
384,4610
385,1602
386,1851
387,2645
388,1875
389,2485
390,2732
391,3647
392,2987
393,1872
394,3419
395,2574
396,1659
397,3275
398,1694
399,3168
400,3001
401,8624
402,2455
403,2758
404,2795
405,2194
406,1558
407,3751
408,2628
409,3598
410,2442
411,1835
412,4615
413,5965
414,8998
415,1601
416,2960
417,2405
418,2378
419,4671
420,1553
421,3445
422,3349
423,1906
424,2281
425,2398
426,2559
427,1356
428,2938
429,5417
430,1179
431,1170
432,3258
433,3005
434,7013
435,4677
436,1585
437,5593
438,2850
439,2141
440,4071
441,1460
442,2268
443,3154
444,2744
445,1908
446,1818
447,1817
448,2992
449,2438
450,2436
451,2842
452,6588
453,2296
454,4668
455,3298
456,1797
457,2723
458,2038
459,4724
460,3764
461,6366
462,3197
463,1643
464,5161
465,2105
466,1640
467,2475
468,1806
469,1797
470,2354
471,2054
472,2648
473,2967
474,4552
475,1291
476,3073
477,3095
478,1138
479,2155
480,1396
481,2560
482,5173
483,2356
484,6624
485,2407
486,6259
487,3886
488,5227
489,2560
490,12240
491,3215
492,3117
493,2193
494,1356
495,1212
496,1564
497,2515
498,3470
499,5703
500,1606
501,5228
502,2035
503,5183
504,1491
505,2192
506,2100
507,2964
508,9773
509,8259
510,3243
511,5782
512,3344
513,1956
514,5493
515,2044
516,3110
517,3581
518,2334
519,2971
520,3820
521,2743
522,1497
523,8182
524,2161
525,2753
526,6699
527,2923
528,1653
529,1697
530,3196
531,3114
532,1713
533,5972
534,6193
535,2522
536,7287
537,8463
538,2787
539,1818
540,1884
541,2022
542,3079
543,2206
544,2667
545,1399
546,2319
547,2942
548,2809
549,3139
550,2224
551,3391
552,2474
553,3379
554,3493
555,9847
556,1526
557,1969
558,5756
559,5403
560,1237
561,2258
562,7912
563,2158
564,1761
565,11064
566,6789
567,1594
568,1553
569,3642
570,8309
571,1522
572,6573
573,4241
574,1097
575,5233
576,4937
577,3243
578,4397
579,1744
580,2997
581,3312
582,3586
583,11077
584,2540
585,2705
586,3046
587,1944
588,1548
589,1765
590,2807
591,3088
592,1913
593,9092
594,3806
595,2860
596,3293
597,1767
598,1837
599,2544
600,3218
601,2222
602,1444
603,2232
604,3504
605,5770
606,3516
607,1131
608,2792
609,3825
610,5070
611,2379
612,2334
613,2801
614,2164
615,4502
616,2311
617,5434
618,2453
619,1686
620,8334
621,2497
622,3243
623,3156
624,3552
625,4035
626,6028
627,1384
628,2145
629,2169
630,3896
631,3204
632,4212
633,3167
634,3314
635,1821
636,1942
637,2576
638,3155
639,1984
640,1472
641,2594
642,2353
643,1885
644,1505
645,3467
646,2367
647,2591
648,4150
649,1571
650,1971
651,1733
652,2482
653,2090
654,1791
655,1443
656,3054
657,3931
658,2820
659,3287
660,1768
661,2091
662,3996
663,10187
664,2838
665,1503
666,3500
667,3467
668,1561
669,3203
670,4040
671,1886
672,7328
673,1896
674,1325
675,1694
676,1864
677,1859
678,1745
679,2154
680,3612
681,4120
682,4761
683,3497
684,2411
685,3947
686,3765
687,3165
688,2300
689,1331
690,6909
691,4579
692,7509
693,2873
694,7415
695,3159
696,2268
697,1793
698,2881
699,1723
700,2464
701,3566
702,4960
703,1217
704,2275
705,2353
706,1339
707,1182
708,3263
709,4219
710,3496
711,2356
712,1818
713,3183
714,7100
715,4969
716,2462
717,1555
718,3231
719,1456
720,1607
721,6604
722,4516
723,2082
724,3363
725,3839
726,3053
727,1844
728,2699
729,2378
730,3817
731,2890
732,1202
733,5892
734,2364
735,2635
736,3009
737,6646
738,3222
739,1707
740,3434
741,1803
742,2218
743,6415
744,2398
745,1893
746,1640
747,2952
748,3104
749,2992
750,2384
751,1628
752,1259
753,2540
754,2661
755,7176
756,1860
757,6822
758,2325
759,1796
760,2501
761,2337
762,7326
763,989
764,1534
765,1579
766,1646
767,1896
768,1487
769,3635
770,1175
771,1511
772,1449
773,3117
774,3865
775,3015
776,1848
777,2829
778,1369
779,2993
780,1872
781,3460
782,1497
783,2532
784,5042
785,2556
786,3470
787,2674
788,2687
789,1374
790,2801
791,6576
792,2034
793,2357
794,5782
795,4849
796,3459
797,2725
798,2140
799,1323
800,5302
801,7145
802,6334
803,1944
804,4765
805,1709
806,1770
807,4439
808,1423
809,1919
810,3601
811,2281
812,2584
813,1462
814,1916
815,2346
816,4855
817,1788
818,2673
819,1631
820,1084
821,2294
822,1807
823,2154
824,1693
825,1464
826,5994
827,1579
828,3524
829,2236
830,2544
831,1739
832,2085
833,2273
834,2633
835,1570
836,1822
837,2739
838,1617
839,2520
840,2740
841,3677
842,5549
843,1889
844,7256
845,3266
846,1990
847,5890
848,1826
849,2977
850,5201
851,1627
852,3717
853,10202
854,2992
855,1654
856,1574
857,2214
858,2243
859,3624
860,2138
861,6290
862,1191
863,2579
864,1462
865,2636
866,2314
867,6269
868,4895
869,1158
870,2248
871,4135
872,2732
873,1793
874,2692
875,3820
876,2828
877,5923
878,3066
879,1640
880,3551
881,2086
882,1896
883,5816
884,14783
885,2081
886,10599
887,2029
888,2411
889,1804
890,2752
891,1660
892,1568
893,1720
894,2640
895,2073
896,2992
897,2102
898,3730
899,2366
900,2910
901,1251
902,6300
903,5812
904,3355
905,6051
906,6343
907,1647
908,2613
909,3181
910,2031
911,2860
912,1774
913,1844
914,1427
915,3074
916,2159
917,1910
918,2710
919,7333
920,1361
921,4970
922,2243
923,1847
924,2756
925,4638
926,1631
927,4567
928,2291
929,1988
930,5138
931,3463
932,4315
933,2477
934,1585
935,2648
936,1974
937,3062
938,3154
939,2675
940,2457
941,2431
942,1915
943,3170
944,1300
945,3244
946,1632
947,2240
948,2264
949,3722
950,2315
951,4408
952,1654
953,2036
954,6329
955,3598
956,5031
957,5673
958,4305
959,2060
960,2257
961,2543
962,1563
963,1893
964,3400
965,1814
966,3574
967,1714
968,1581
969,2701
970,5087
971,2116
972,4514
973,1729
974,9858
975,4096
976,2174
977,1997
978,5625
979,1175
980,1311
981,2041
982,3378
983,5716
984,1773
985,1289
986,1384
