Id,Prediction
0,1412
1,7175
2,1658
3,3338
4,3060
5,3575
6,3281
7,3077
8,1106
9,1843
10,1637
11,2852
12,2681
13,3089
14,3185
15,2608
16,1423
17,11618
18,2644
19,5005
20,2626
21,3070
22,3425
23,1722
24,4286
25,1991
26,1497
27,1780
28,1532
29,2885
30,1091
31,1673
32,3036
33,4370
34,1604
35,2122
36,5106
37,3740
38,1451
39,2054
40,1362
41,3437
42,1188
43,2462
44,1577
45,1392
46,1899
47,2111
48,5730
49,2048
50,2871
51,1815
52,3257
53,1955
54,2748
55,2587
56,5179
57,1488
58,2230
59,2399
60,2650
61,2143
62,2216
63,1277
64,3173
65,1644
66,1548
67,3086
68,1782
69,1454
70,1436
71,2636
72,1839
73,3614
74,1776
75,1467
76,1615
77,2299
78,1684
79,2964
80,5029
81,2673
82,7423
83,3929
84,2364
85,1237
86,3379
87,1420
88,2284
89,1299
90,4403
91,1628
92,1894
93,3010
94,6969
95,1349
96,2032
97,4021
98,3234
99,3334
100,2246
101,2124
102,1898
103,7229
104,3035
105,1658
106,4665
107,11682
108,1380
109,2570
110,1764
111,3841
112,1184
113,3212
114,2051
115,3353
116,2379
117,2431
118,2645
119,2255
120,1243
121,1921
122,1209
123,2540
124,1732
125,2790
126,1761
127,3608
128,1676
129,3102
130,1075
131,3231
132,2870
133,1378
134,1557
135,2105
136,6952
137,2546
138,1804
139,5839
140,2377
141,1540
142,7948
143,2301
144,3236
145,1727
146,3424
147,1661
148,3236
149,4385
150,3343
151,3928
152,1639
153,1686
154,2172
155,2065
156,4932
157,7399
158,2343
159,2171
160,2077
161,3016
162,1414
163,5181
164,3626
165,4250
166,2002
167,3021
168,1944
169,2423
170,6022
171,3043
172,1819
173,2966
174,1932
175,2174
176,1362
177,3132
178,1571
179,2045
180,4674
181,3966
182,2687
183,1664
184,2772
185,2049
186,2103
187,1436
188,2040
189,7039
190,2156
191,1412
192,6065
193,2408
194,1734
195,2372
196,2432
197,3478
198,4313
199,2634
200,1350
201,1954
202,2197
203,2694
204,2879
205,1662
206,2573
207,1754
208,3033
209,3585
210,2048
211,4383
212,1596
213,1905
214,5366
215,1557
216,1852
217,1741
218,12105
219,1419
220,3308
221,3612
222,1121
223,1612
224,1448
225,2406
226,5231
227,3148
228,2398
229,1575
230,1523
231,2986
232,1926
233,1934
234,1641
235,2934
236,2056
237,2798
238,3647
239,7989
240,2495
241,3045
242,1867
243,11051
244,1197
245,2127
246,1764
247,12143
248,2030
249,1588
250,4294
251,3437
252,2109
253,2345
254,2876
255,1902
256,1585
257,1785
258,1436
259,8842
260,1937
261,3480
262,4400
263,3784
264,1889
265,3793
266,2447
267,2209
268,2780
269,2673
270,2600
271,3141
272,2985
273,2188
274,2302
275,4962
276,2540
277,2689
278,4644
279,2608
280,2806
281,1963
282,4808
283,1617
284,3449
285,1849
286,7408
287,1828
288,1485
289,2082
290,8456
291,9648
292,1077
293,2207
294,2366
295,1740
296,1587
297,3934
298,1651
299,1351
300,7414
301,1549
302,3038
303,3144
304,1635
305,2331
306,2966
307,1434
308,4276
309,3472
310,2489
311,2389
312,4365
313,1645
314,1296
315,1506
316,3810
317,1471
318,6141
319,3603
320,3779
321,1837
322,2560
323,7527
324,1320
325,4481
326,2503
327,4235
328,3547
329,2250
330,4913
331,1791
332,2214
333,3655
334,3036
335,2907
336,3550
337,1939
338,2014
339,3609
340,2763
341,1813
342,1994
343,1729
344,1971
345,4284
346,8680
347,4996
348,9397
349,2806
350,7176
351,2098
352,2274
353,1666
354,3172
355,5546
356,8621
357,2349
358,1698
359,3388
360,2592
361,1553
362,2061
363,1707
364,2131
365,1578
366,1385
367,4834
368,2070
369,1814
370,2613
371,1740
372,2381
373,1361
374,3251
375,1661
376,4959
377,1075
378,5342
379,1902
380,3001
381,1570
382,1498
383,3285
384,5167
385,1537
386,1646
387,3197
388,1935
389,2613
390,3969
391,3978
392,2881
393,1902
394,2491
395,2656
396,1193
397,3222
398,1714
399,3732
400,2610
401,9752
402,2308
403,3038
404,3072
405,2536
406,1617
407,2850
408,2593
409,2849
410,2628
411,1869
412,4203
413,2501
414,3505
415,1460
416,2502
417,1465
418,2777
419,2243
420,1731
421,4709
422,3540
423,1274
424,3167
425,2711
426,2484
427,1420
428,1876
429,4886
430,1626
431,1268
432,3579
433,2597
434,8285
435,4561
436,1745
437,4604
438,2263
439,2294
440,3140
441,4002
442,2643
443,2497
444,3132
445,1241
446,2185
447,2191
448,2796
449,2749
450,2181
451,2716
452,3351
453,2700
454,5211
455,3726
456,2267
457,2705
458,1495
459,3242
460,2891
461,6852
462,3359
463,1571
464,4929
465,2258
466,1412
467,2751
468,2432
469,1622
470,2153
471,5199
472,2913
473,2163
474,4847
475,1262
476,3560
477,2983
478,1506
479,1742
480,1380
481,2300
482,5917
483,2559
484,9117
485,2592
486,7966
487,3230
488,5823
489,2360
490,4587
491,3052
492,5733
493,1949
494,1294
495,1284
496,1295
497,2362
498,1993
499,5464
500,1617
501,4715
502,2312
503,4427
504,1235
505,2271
506,1697
507,3018
508,6551
509,11834
510,3462
511,5983
512,3122
513,2485
