Id,Prediction
0,2268
1,2669
2,973
3,3435
4,935
5,3881
6,3734
7,3601
8,883
9,1174
10,1164
11,2469
12,1509
13,823
14,2023
15,1400
16,1377
17,55702
18,7268
19,1226
20,3533
21,1988
22,2002
23,2369
24,13334
25,637
26,1951
27,815
28,1129
29,2256
30,790
31,833
32,2769
33,6603
34,1038
35,2077
36,2826
37,1701
38,1967
39,1634
40,668
41,1534
42,756
43,2335
44,910
45,1164
46,1590
47,1870
48,10570
49,2158
50,2902
51,1441
52,971
53,628
54,1398
55,1302
56,3467
57,3669
58,1262
59,1139
60,5003
61,3570
62,4099
63,737
64,4901
65,1387
66,1713
67,8035
68,2368
69,1065
70,821
71,1890
72,3677
73,2235
74,1158
75,1683
76,1406
77,6346
78,3926
79,3069
80,6036
81,4901
82,1002
83,7268
84,1459
85,1907
86,3867
87,876
88,1534
89,1043
90,1302
91,1338
92,1534
93,1452
94,984
95,982
96,2269
97,1698
98,12803
99,2452
100,2335
101,2934
102,1635
103,1249
104,1618
105,2349
106,6835
107,5934
108,878
109,532
110,1122
111,8134
112,711
113,14703
114,748
115,4663
116,3401
117,1635
118,830
119,4234
120,1102
121,1003
122,931
123,1702
124,1978
125,1768
126,3155
127,1434
128,876
129,1935
130,1264
131,896
132,5267
133,675
134,2817
135,3535
136,1174
137,2080
138,1502
139,4391
140,2402
141,820
142,726
143,1407
144,4335
145,1244
146,1469
147,1121
148,5557
149,5402
150,7490
151,2569
152,1401
153,855
154,2835
155,1290
156,2902
157,3802
158,1169
159,847
160,4601
161,1803
162,3969
163,7235
164,8468
165,6033
166,4267
167,1638
168,2077
169,4069
170,3333
171,3268
172,761
173,831
174,3586
175,883
176,1868
177,3712
178,1446
179,1091
180,13567
181,5934
182,2081
183,835
184,966
185,1197
186,1768
187,1030
188,1608
189,9825
190,813
191,1222
192,5768
193,1401
194,1669
195,3634
196,667
197,2169
198,2435
199,3611
200,824
201,2671
202,1963
203,9368
204,2301
205,1204
206,5503
207,894
208,1599
209,1777
210,3935
211,7133
212,1135
213,1503
214,1736
215,829
216,1341
217,846
218,55813
219,1566
220,8577
221,2400
222,1306
223,779
224,956
225,1977
226,23370
227,4670
228,1188
229,2498
230,2234
231,1727
232,1163
233,2935
234,1835
235,2354
236,1347
237,3400
238,5835
239,4502
240,1204
241,1098
242,3134
243,8060
244,787
245,1402
246,1400
247,3401
248,2735
249,1103
250,1198
251,2736
252,4667
253,2910
254,4435
255,1170
256,1150
257,1183
258,1288
259,1343
260,1732
261,1269
262,3035
263,7404
264,3880
265,2801
266,1836
267,889
268,1669
269,1502
270,2060
271,15559
272,4354
273,2634
274,3569
275,5667
276,2333
277,1685
278,2568
279,1900
280,1237
281,3539
282,627
283,1168
284,2453
285,1467
286,994
287,1237
288,1091
289,1707
290,4287
291,2567
292,1636
293,3283
294,1316
295,1729
296,664
297,11130
298,1535
299,3453
300,21168
301,1354
302,1923
303,3635
304,1200
305,1198
306,4170
307,5041
308,9885
309,2599
310,1803
311,1867
312,1476
313,2597
314,808
315,1090
316,7168
317,807
318,2601
319,1768
320,3035
321,997
322,966
323,8501
324,840
325,3335
326,1735
327,727
328,1497
329,1598
330,2336
331,1801
332,2313
333,13819
334,2149
335,1415
336,10215
337,3535
338,1021
339,3901
340,3469
341,975
342,1146
343,1045
344,2561
345,3969
346,5535
347,2568
348,1457
349,1697
350,2351
351,2634
352,3609
353,2767
354,1479
355,2650
356,55802
357,3027
358,1073
359,990
360,3934
361,1038
362,1831
363,940
364,2035
365,1709
366,1030
367,10801
368,1301
369,1321
370,973
371,2735
372,2812
373,1657
