Id,Prediction
0,5561
1,957
2,3461
3,2702
4,8674
5,9122
6,883
7,1864
8,1861
9,3823
10,1841
11,1147
12,22137
13,1041
14,1880
15,18542
16,4696
17,957
18,9907
19,6802
20,16187
21,1820
22,6732
23,3325
24,2641
25,6080
26,4846
27,1942
28,4222
29,5361
30,3561
31,4461
32,1571
33,5688
34,2421
35,3081
36,4182
37,1605
38,2042
39,3021
40,4542
41,4307
42,8822
43,2296
44,1882
45,1388
46,5162
47,1682
48,1229
49,9794
50,1676
51,3451
52,2081
53,1761
54,1571
55,2111
56,1697
57,5162
58,957
59,1601
60,5502
61,4081
62,2224
63,1464
64,3522
65,6737
66,7441
67,989
68,2141
69,1707
70,2042
71,784
72,1147
73,1306
74,3462
75,1965
76,1639
77,1992
78,6922
79,2661
80,2446
81,2041
82,2602
83,1029
84,2756
85,2781
86,5360
87,1715
88,1464
89,1734
90,2142
91,1611
92,2175
93,6581
94,957
95,4721
96,2843
97,6149
98,1732
99,3021
100,2468
101,2193
102,1738
103,2562
104,1982
105,2095
106,3182
107,1693
108,1841
109,2765
110,3922
111,1801
112,3123
113,2557
114,3382
115,1571
116,2144
117,2522
118,4201
119,2387
120,2296
121,1802
122,6202
123,3482
124,3643
125,1388
126,1279
127,2359
128,3358
129,2661
130,10003
131,2569
132,2353
133,3022
134,3399
135,1514
136,3451
137,1915
138,3011
139,2678
140,4752
141,2133
142,957
143,1881
144,1702
145,6447
146,3816
147,1721
148,802
149,3164
150,802
151,4465
152,1721
153,3622
154,4820
155,1801
156,3462
157,1737
158,2004
159,4890
160,3975
161,3601
162,5074
163,1077
164,2037
165,3526
166,8010
167,2881
168,1536
169,2522
170,1581
171,784
172,1324
173,2341
174,3940
175,1933
176,2042
177,1744
178,2042
179,1610
180,1737
181,997
182,2299
183,1602
184,4522
185,5240
186,6378
187,3022
188,2276
189,4622
190,2492
191,1585
192,8685
193,2175
194,4956
195,1228
196,6921
197,1551
198,1862
199,7725
200,2509
201,1702
202,2081
203,4820
204,1211
205,7374
206,2722
207,1421
208,2864
209,6175
210,3802
211,2981
212,2381
213,2582
214,2425
215,2102
216,3388
217,1753
218,957
219,4182
220,4160
221,933
222,4281
223,1721
224,3382
225,21686
226,2762
227,3164
228,7981
229,5017
230,2901
231,2084
232,5131
233,1841
234,1052
235,1402
236,2000
237,2722
238,2635
239,12062
240,3181
241,2222
242,810
243,14904
244,954
245,12456
246,2042
247,15181
248,4180
249,4581
250,1964
251,1708
252,1253
253,21686
254,1681
255,4182
256,2144
257,10562
258,1883
259,2022
260,957
261,1490
262,1862
263,5544
264,2765
265,1552
266,2582
267,1761
268,4387
269,3541
270,3922
271,3031
272,1820
273,3505
274,4301
275,24231
276,2903
277,2641
278,1250
279,10429
280,1922
281,1956
282,2362
283,716
284,1203
285,2248
286,957
287,3532
288,4258
289,2016
290,2401
291,4928
292,1464
293,7374
294,1548
295,1585
296,2921
297,1475
298,4662
299,3399
300,2716
301,2141
302,1464
303,2702
304,1862
305,1571
306,7702
307,4941
308,4602
309,2642
310,3601
311,11561
312,6175
313,3101
314,1055
315,4781
316,2982
317,3988
318,957
319,4802
320,3164
321,11921
322,5290
323,5582
324,2306
325,1151
326,4977
327,3771
328,2805
329,784
330,1988
331,5421
332,3622
333,2625
334,2710
335,1634
336,2761
337,1485
338,2042
339,2888
340,2341
341,1517
342,2122
343,3101
344,2202
345,23942
346,2882
347,1759
348,2261
349,1571
350,957
351,2623
352,2094
353,2776
354,2765
355,2581
356,957
357,3043
358,9602
359,2341
360,3428
361,1883
362,4781
363,1862
364,1595
365,2549
366,2306
367,1487
368,2542
369,4305
370,3681
371,11782
372,4560
373,1801
374,1495
375,2063
376,3521
377,10003
378,2718
379,1546
380,1451
381,3662
382,4576
383,802
384,1270
385,3091
386,1514
387,2725
388,4182
389,15467
390,3101
391,2282
392,3176
393,3482
394,2642
395,1681
396,3382
397,1890
398,15082
399,2282
400,3521
401,4939
402,1151
403,1874
404,1761
405,1558
406,2549
407,4141
408,11561
409,1316
410,2681
411,2156
412,23721
413,5762
414,1216
415,5074
416,12482
417,4202
418,3180
419,2718
420,5469
421,2222
422,2221
423,1877
424,1761
425,6378
426,2068
427,1763
428,851
429,6530
430,3166
431,2063
432,2641
433,3180
434,2873
435,23721
436,1942
437,1388
438,2079
439,1777
440,1988
441,2161
442,3373
443,3082
444,3401
445,5851
446,1681
447,3755
448,1933
449,6961
450,957
451,4202
452,6149
453,3181
454,8721
455,2921
456,5930
457,912
458,820
459,1788
460,853
461,957
462,1571
463,1199
464,872
465,1132
466,15402
467,5941
468,1626
469,3022
470,9141
471,2314
472,9738
473,2297
474,3526
475,2742
476,2556
477,12581
478,3022
479,3382
480,4028
481,1371
482,2523
483,3940
484,1091
485,1031
486,957
487,4696
488,2441
489,1368
490,1216
491,1239
492,872
493,1795
494,1495
495,1464
496,3131
497,1583
498,2000
499,1905
500,4028
501,1524
502,6020
503,1170
504,4921
505,2063
506,12487
507,966
508,1480
509,2322
510,1744
511,2946
512,3816
513,4750
514,8721
515,4798
516,5724
517,2331
518,1388
519,1467
520,2161
521,1795
522,3348
523,1710
524,4128
525,3382
526,957
527,2487
528,1415
529,4482
530,2481
531,802
532,3618
533,957
534,957
535,2075
536,2081
537,2865
538,1987
539,2297
540,2979
541,2528
542,1079
543,4141
544,2983
545,2393
546,15547
547,869
548,4382
549,2202
550,4168
551,5421
552,1802
553,2481
554,2481
555,8585
556,3022
557,4236
558,957
559,3182
560,4182
561,6378
562,4928
563,1954
564,1190
565,1886
566,1642
567,1761
568,2081
569,2241
570,1540
571,4281
572,3581
573,6182
574,4559
575,2282
576,16026
577,3021
578,1990
579,5062
580,2982
581,1567
582,1811
583,2900
584,856
585,755
586,1571
587,3758
588,3011
589,1208
590,3521
591,3485
592,13062
593,1882
594,939
595,1687
596,2603
597,2341
598,1575
599,1407
600,2761
601,1324
602,2602
603,5421
604,1388
605,5301
606,6542
607,3722
608,1954
609,4166
610,2596
611,7082
612,2258
613,8301
614,2221
615,1759
616,898
617,3182
618,2221
619,4301
620,2678
621,1723
622,2095
623,1761
624,2982
625,1376
626,1146
627,1682
628,3181
629,2641
630,3482
631,8077
632,2681
633,6581
634,1037
635,6953
636,1627
637,2297
638,802
639,2581
640,11223
641,7981
642,2232
643,1597
644,1982
645,12581
646,1183
647,4151
648,2161
649,2306
650,1408
651,12481
652,1777
653,2463
654,3181
655,4061
656,8222
657,1626
658,2020
659,1176
660,3567
661,3028
662,2021
663,8301
664,2094
665,2306
666,6359
667,1651
668,2101
669,3176
670,1822
671,3451
672,1697
673,1308
674,1841
675,1191
676,3451
677,1655
678,1795
679,3678
680,802
681,1962
682,2081
683,2190
684,7981
685,1060
686,1811
687,1708
688,3881
689,5678
690,957
691,1985
692,2082
693,901
694,2582
695,1634
696,6741
697,1275
698,1721
699,4301
700,4591
701,2331
702,9382
703,8250
704,4182
705,2001
706,4741
707,2195
708,3848
709,2902
710,1361
711,2042
712,1514
713,1501
714,2843
715,2261
716,4361
717,2757
718,1388
719,2341
