Id,Prediction
0,1809
1,1751
2,1796
3,2748
4,2050
5,5046
6,3263
7,4591
8,940
9,2065
10,1724
11,3010
12,3252
13,1349
14,1446
15,2289
16,1337
17,15151
18,2933
19,8489
20,3069
21,2377
22,4295
23,1655
24,4957
25,1407
26,1655
27,1270
28,1262
29,2629
30,793
31,1676
32,3016
33,4744
34,1468
35,1974
36,2162
37,3357
38,1621
39,2254
40,1420
41,3009
42,1404
43,2825
44,1094
45,1889
46,1250
47,1666
48,5161
49,1839
50,2317
51,1740
52,4276
53,2229
54,2278
55,2512
56,3924
57,1742
58,1398
59,1710
60,2213
61,2473
62,2519
63,1148
64,2994
65,1100
66,1586
67,3437
68,1686
69,1619
70,1377
71,2483
72,1685
73,2534
74,2382
75,1605
76,1468
77,2978
78,2094
79,3201
80,8836
81,3004
82,11690
83,3265
84,1902
85,1332
86,3352
87,1358
88,1383
89,1332
90,6870
91,1586
92,2781
93,2052
94,1851
95,1761
96,1915
97,2103
98,4705
99,2852
100,3065
101,2149
102,1082
103,10471
104,4894
105,1769
106,4250
107,10253
108,1108
109,3157
110,1979
111,5074
112,1174
113,4917
114,2571
115,3686
116,1915
117,3078
118,3062
119,2215
120,1253
121,2482
122,1437
123,2261
124,2248
125,2138
126,1769
127,3404
128,2173
129,2770
130,1124
131,2638
132,3064
133,739
134,1790
135,2719
136,4068
137,2621
138,1916
139,4912
140,2854
141,1689
142,15805
143,1463
144,3764
145,2163
146,4487
147,1480
148,3555
149,3248
150,3358
151,5336
152,1425
153,1692
154,2289
155,1465
156,2555
157,5483
158,3823
159,2691
160,2597
161,2162
162,1740
163,5147
164,4255
165,5326
166,2538
167,2819
168,2085
169,2271
170,7802
171,2483
172,1192
173,1722
174,2610
175,1991
176,1173
177,4763
178,1153
179,1609
180,4683
181,3716
182,2270
183,918
184,2887
185,1545
186,2012
187,1434
188,1518
189,5330
190,2536
191,1046
192,10491
193,3709
194,2136
195,1927
196,3720
197,2463
198,3757
199,2254
200,1377
201,2216
202,1771
203,3955
204,2044
205,1863
206,2825
207,1148
208,3506
