Id,Prediction
0,3297
1,3587
2,2356
3,2727
4,5701
5,7932
6,3175
7,5245
8,2054
9,1372
10,3118
11,5787
12,2766
13,3273
14,3183
15,3102
16,1109
17,5427
18,2935
19,6003
20,3447
21,3923
22,3810
23,1241
24,4925
25,3957
26,2324
27,1787
28,2159
29,5407
30,1550
31,1722
32,2372
33,26670
34,2058
35,2443
36,3717
37,5991
38,2653
39,2841
40,2558
41,4191
42,1698
43,3601
44,1679
45,2569
46,2879
47,1979
48,5461
49,2838
50,3694
51,4589
52,3444
53,2867
54,3810
55,4719
56,5712
57,1483
58,1159
59,3451
60,3590
61,2953
62,2580
63,1837
64,3196
65,2294
66,2169
67,2811
68,2463
69,1839
70,2571
71,3072
72,3222
73,4378
74,1255
75,1957
76,2436
77,3774
78,1784
79,3466
80,4635
81,3161
82,6186
83,3020
84,3050
85,2857
86,3842
87,2773
88,2469
89,1986
90,2439
91,108
92,3060
93,2795
94,3815
95,2231
96,3521
97,3007
98,2212
99,3206
100,4355
101,2730
102,3575
103,6105
104,1142
105,2599
106,4083
107,7365
108,2284
109,2449
110,1833
111,5341
112,2150
113,2479
114,1615
115,2210
116,3338
117,4036
118,3438
119,3917
120,2806
121,2468
122,1886
123,2686
124,2767
125,3247
126,4292
127,4193
128,3689
129,3351
130,1774
131,2173
132,3131
133,1957
134,1630
135,3100
136,6378
137,2960
138,2615
139,5123
140,3326
141,2306
142,4863
143,4109
144,2819
145,3451
146,3853
147,2457
148,5044
149,3760
150,4767
151,1896
152,2951
153,3525
154,3234
155,3713
156,7110
157,6624
158,2456
159,4451
160,3205
161,3505
162,1621
163,5819
164,3159
165,5146
166,4015
167,2190
168,2592
169,3322
170,5861
171,2750
172,2363
173,2982
174,2523
175,2290
176,2121
177,2247
178,3541
179,3820
180,6052
181,5575
182,2949
183,2441
184,1442
185,2993
186,2755
187,2481
188,2438
189,7017
190,3291
191,3131
192,5632
193,3559
194,3046
195,2556
196,2587
197,3531
198,5972
199,4969
200,2928
201,2967
202,2555
203,4792
204,3185
205,2305
206,3735
207,3146
208,3494
209,6697
210,3314
211,5058
212,2945
213,2134
214,4444
215,1651
216,2219
217,2137
218,5307
219,2355
220,2761
221,2537
222,2516
223,3334
224,2313
225,1762
226,3607
227,3248
228,2406
229,3344
230,2388
231,2563
232,3746
233,1587
234,1197
235,3259
236,2628
237,2615
238,3375
239,8565
240,3490
241,3136
242,2991
243,5871
244,2737
245,1758
246,2212
247,6620
248,2220
249,2080
250,5559
251,1923
252,2369
253,2733
254,3073
255,2334
256,2985
257,3596
258,2741
259,5454
260,2214
261,3802
262,5641
263,5877
264,2803
265,3269
266,1752
267,1863
268,3546
269,3374
270,2102
271,1710
272,2401
273,2526
274,2374
275,4648
276,2622
277,3311
278,5234
279,1931
280,3898
281,2278
282,4036
283,2450
284,5188
285,2154
286,3221
287,2239
288,1380
289,3113
290,4733
291,8841
292,1756
293,3450
294,4346
295,3481
296,1895
297,4926
298,1729
299,1537
300,4601
301,2631
302,2749
303,2550
304,3651
305,3614
306,3047
307,1563
308,4478
