Id,Prediction
0,3498
1,3992
2,1928
3,2488
4,6493
5,8226
6,2707
7,4691
8,2345
9,1234
10,3160
11,5319
12,2984
13,2525
14,3427
15,3055
16,1245
17,5626
18,3039
19,6035
20,3580
21,3997
22,4542
23,1716
24,5548
25,4057
26,2647
27,1853
28,2377
29,5111
30,1503
31,1936
32,1750
33,34495
34,2001
35,2700
36,3747
37,5820
38,2387
39,2384
40,2807
41,3967
42,1743
43,2673
44,1901
45,2555
46,2759
47,2093
48,5259
49,2740
50,4181
51,5479
52,3327
53,2739
54,3719
55,5061
56,5780
57,1661
58,1641
59,3756
60,3841
61,2758
62,2187
63,1742
64,3577
65,2245
66,2133
67,2532
68,2227
69,1795
70,2346
71,3108
72,3569
73,4449
74,1618
75,2313
76,2275
77,3598
78,1789
79,3198
80,4738
81,3221
82,6133
83,2817
84,2810
85,2660
86,3607
87,2869
88,2666
89,1740
90,2154
91,818
92,3187
93,2577
94,4115
95,2045
96,3312
97,2760
98,1909
99,3391
100,4308
101,2413
102,3780
103,6466
104,1812
105,2427
106,5307
107,7451
108,2272
109,2346
110,2019
111,5379
112,2234
113,2149
114,1342
115,2074
116,3078
117,4460
118,3047
119,4129
120,2986
121,2292
122,1945
123,2664
124,2311
125,3347
126,4259
127,3860
128,3288
129,2839
130,1872
131,2321
132,2966
133,1894
134,1824
135,3113
136,7022
137,3207
138,2563
139,4890
140,3187
141,2331
142,4936
143,4053
144,2590
145,3388
146,4076
147,2446
148,5403
149,3812
150,5047
151,2087
152,2933
153,3233
154,3797
155,3858
156,6477
157,6509
158,2610
159,4550
160,3168
161,3221
162,1684
163,5869
164,2786
165,5381
166,3860
167,2207
168,2398
169,3841
170,5679
171,2780
172,2671
173,2910
174,2031
175,2829
176,2196
177,2247
178,3404
179,4063
180,5859
181,5565
182,3055
183,2235
184,1795
185,3168
186,2425
187,2380
188,2266
189,6897
190,3345
191,3519
192,5454
193,3677
194,2874
195,2927
196,2327
197,3184
198,5815
199,5370
200,2892
201,2699
202,2449
203,5102
204,2859
205,2311
206,3566
207,2917
208,3560
209,4959
210,3465
211,4556
212,2900
213,2254
214,4567
215,2447
216,2464
217,2152
218,5574
219,2844
220,2631
221,2749
222,2324
223,3515
224,1969
225,1649
226,3232
227,3005
228,2141
229,3367
230,2408
231,2436
232,3431
233,1720
234,1033
235,3743
236,2806
237,3260
238,2517
239,9072
240,3696
241,3216
242,3201
243,5948
244,3191
245,1879
246,2177
247,6495
248,2521
249,1903
250,5572
251,1299
252,2340
253,2854
254,2880
255,2633
256,2354
257,3511
258,2681
259,5064
260,2370
261,4328
262,5563
263,6225
264,2102
265,3216
266,1495
267,1690
268,4429
269,3498
270,2376
271,1669
272,3049
273,2377
274,2120
275,5001
276,2105
277,3078
278,5983
279,1778
280,3856
281,2323
282,4509
283,2512
284,5731
285,2000
286,3349
287,2355
288,1483
289,3866
290,4569
291,8880
292,1963
293,3259
294,4651
295,4121
296,2045
297,5059
298,1894
299,1717
300,5439
301,2435
302,2686
303,2805
