Id,Prediction
0,3159
1,4992
2,1855
3,1966
4,7148
5,8061
6,3176
7,5219
8,1225
9,1008
10,3276
11,5936
12,3140
13,2798
14,3545
15,3079
16,493
17,6335
18,2994
19,6302
20,3619
21,3693
22,4402
23,5
24,5927
25,4215
26,2984
27,1225
28,1855
29,5614
30,965
31,1427
32,1589
33,29697
34,1639
35,2577
36,3383
37,6536
38,2458
39,2482
40,2202
41,4781
42,1371
43,2162
44,1702
45,2790
46,2596
47,2097
48,5636
49,3036
50,3868
51,5012
52,3517
53,2351
54,4453
55,5437
56,5611
57,756
58,1442
59,4015
60,4338
61,3155
62,2395
63,1757
64,3490
65,2043
66,1330
67,2422
68,2782
69,1028
70,2304
71,2978
72,4029
73,4421
74,950
75,1898
76,2913
77,4212
78,1480
79,2460
80,5226
81,3411
82,6171
83,2918
84,2883
85,2854
86,3504
87,3130
88,2380
89,1619
90,1979
91,0
92,3327
93,2124
94,4238
95,2238
96,3237
97,2748
98,2330
99,3586
100,4256
101,2717
102,3139
103,7109
104,853
105,2406
106,6571
107,8306
108,1584
109,2605
110,1457
111,5551
112,1994
113,2580
114,1016
115,1813
116,2642
117,4569
118,3840
119,4294
120,3097
121,2596
122,1678
123,2318
124,2904
125,3401
126,4238
127,4402
128,4139
129,2487
130,1908
131,2366
132,3100
133,1659
134,2026
135,3598
136,7238
137,2763
138,2906
139,5558
140,3430
141,2577
142,5341
143,3972
144,2623
145,3199
146,3951
147,2704
148,5259
149,3686
150,4738
151,2067
152,3205
153,4172
154,3109
155,3922
156,7765
157,6558
158,2681
159,5422
160,3406
161,2872
162,1200
163,6301
164,4064
165,5555
166,3875
167,1879
168,3001
169,3662
170,6281
171,2136
172,2776
173,3159
174,1473
175,2471
176,2343
177,1974
178,3635
179,3783
180,5409
181,5248
182,3291
183,1966
184,1463
185,2848
186,2604
187,2192
188,2712
189,8303
190,4415
191,3386
192,6230
193,3827
194,2872
195,2629
196,2771
197,3894
198,6508
199,5637
200,3149
201,2872
202,2286
203,5436
204,2684
205,2335
206,4208
207,2487
208,3079
209,2366
210,4126
211,5599
212,3368
213,2409
214,4710
215,1392
216,2115
217,2193
218,6096
219,2247
220,3074
221,2647
222,1941
223,3027
224,2481
225,1499
226,3923
227,3266
228,2351
229,3144
230,2587
231,2132
232,3781
233,1059
234,872
235,3439
236,3731
237,2845
238,3285
239,9210
240,3603
241,3689
242,2667
243,6085
244,3383
245,1948
246,2249
247,7028
248,1984
249,1212
250,5919
251,1436
252,2082
253,3533
254,3017
255,2089
256,2461
257,4451
258,2759
259,4788
260,2852
261,4323
262,5841
263,6300
264,2982
265,3303
266,1454
267,1977
268,4071
269,3174
270,2532
271,1997
272,2634
273,2653
274,2705
275,4236
276,1311
277,3318
278,5847
279,1618
280,3658
281,3281
282,5110
283,2711
284,5457
285,2091
286,3205
287,2105
288,1691
289,3406
290,4947
291,9939
292,2123
293,4007
294,3653
295,3963
296,2382
297,5372
298,1885
299,1216
300,4963
301,2103
302,2637
303,2573
304,3712
305,2698
306,2671
307,1395
308,4211
309,3993
310,2311
311,2090
312,9545
313,1886
314,2256
315,1624
316,3504
317,1967
318,1546
319,3637
320,3389
321,3787
322,3204
323,6924
324,1298
325,1862
326,2776
327,2331
328,753
329,3745
330,5350
331,417
332,1650
333,2227
334,5505
335,3968
336,8080
337,2665
338,3666
339,4227
340,2738
341,2541
342,3468
343,3196
344,3838
345,7152
346,6317
347,5655
348,7040
349,2317
350,5083
351,3148
352,2760
353,1333
354,2216
355,6124
356,7378
357,3007
358,1521
359,5130
360,2764
361,1604
362,2616
363,2718
364,2873
365,3379
366,1605
367,6788
368,2175
369,0
370,2411
371,2501
372,2736
373,2556
374,1560
375,3350
376,3853
377,2051
378,3298
379,4711
380,3070
381,2925
382,2840
383,5189
384,4673
385,3096
386,2500
387,2825
388,2312
389,2210
390,4533
391,5698
392,1341
393,3617
394,2209
395,1510
396,1163
397,2917
398,1385
399,3666
400,1728
401,4842
402,2520
403,3154
404,2491
405,2749
406,1865
407,3086
408,3174
409,4647
410,1424
411,3489
412,3059
413,4377
414,3970
415,2481
416,1620
417,1359
418,1253
419,4319
420,3265
421,6215
422,4124
423,1826
424,696
425,736
426,5267
427,3148
428,4701
429,12682
430,2773
431,3072
432,3350
433,2855
434,2642
435,2074
436,3109
437,6400
438,3244
439,2303
440,2002
441,3467
442,3273
443,2376
444,2419
445,1746
446,2045
447,4079
448,4410
449,1502
450,3880
451,5395
452,4225
453,2578
454,4756
455,4035
456,2562
457,3595
458,1013
459,4870
460,5012
461,5068
462,2707
463,2664
464,5222
465,1769
466,2164
467,3062
468,2574
469,2779
470,3741
471,5741
472,2789
473,2716
474,3945
475,656
476,2316
477,1703
478,1212
479,1890
480,1008
481,2581
482,4344
483,2250
484,9536
485,1651
486,4597
487,2923
488,8811
489,4454
490,5521
491,3357
492,2440
493,2513
494,2140
495,1297
496,797
497,3166
498,1865
499,6030
500,2889
501,4014
502,3261
503,8370
504,2314
505,2521
506,2553
507,4609
508,6496
509,8337
510,3187
511,3707
512,3023
513,3063
514,8896
515,955
516,3874
517,1465
518,2514
519,3110
520,2156
521,2779
522,2751
523,6356
524,3446
525,2824
526,6457
527,3344
528,422
529,5133
530,3727
531,3730
532,1721
533,1341
534,2465
535,2242
536,5012
537,27
538,3296
539,3187
540,3064
541,2755
542,4021
543,2256
544,2661
545,1915
546,2755
547,4407
548,3138
549,3286
550,3731
551,2787
552,2236
553,3698
554,3535
555,6894
556,2014
557,2336
558,2785
559,5199
560,1752
561,1844
562,8889
563,2906
564,1823
565,7705
566,6596
567,2782
568,891
569,3592
570,8059
571,2734
572,5424
573,8520
574,1993
575,5997
576,3706
577,3318
578,5860
579,2795
580,2597
581,2421
582,4618
583,5721
584,2989
585,6648
586,2585
587,2419
588,1676
589,2944
590,3020
591,4668
592,1634
593,7273
594,2894
595,3875
596,1169
597,2586
598,1596
599,2955
600,4665
601,3288
602,1948
603,2607
604,2433
605,7134
606,3544
607,1777
608,2558
609,6493
610,3265
611,2240
612,4124
613,3874
614,815
615,4944
616,1430
617,4745
618,5122
619,1395
620,6173
621,3014
622,1534
623,6483
624,2579
625,5575
626,5490
627,4277
628,1418
629,829
630,1718
631,2784
632,7900
633,2190
634,1225
635,2200
636,4142
637,2649
638,5170
639,2036
640,1085
641,758
642,2051
643,1806
644,4679
645,1723
646,3658
647,4267
648,6525
649,1811
650,2955
651,1442
652,6820
653,2021
654,2439
655,4180
656,3337
657,5667
658,2275
659,3593
660,2629
661,1535
662,5625
663,5202
664,2565
665,1466
666,1919
667,2039
668,3001
669,1646
670,3766
671,6086
672,6882
673,2514
674,2254
675,3577
676,3291
677,999
678,2195
679,2378
680,5846
681,4760
682,4669
683,6127
684,3364
685,3125
686,1372
687,3943
688,809
689,2606
690,5411
691,5492
692,8279
693,2276
694,6895
695,3429
696,1723
697,2382
698,3024
699,2618
700,2733
701,2508
702,10220
703,2260
704,2262
705,4178
706,1422
707,3199
708,4175
709,3834
710,943
711,5974
712,2188
713,1170
714,5360
715,3099
716,1449
717,1140
718,2442
719,2326
720,1863
721,6805
722,5667
723,2364
724,3606
725,4238
726,8034
727,1876
728,2244
729,4602
730,3867
731,2572
732,2071
733,6379
734,2663
735,4670
736,2599
737,4274
738,2741
739,1946
740,2535
741,3565
742,3267
743,6857
744,3899
745,3681
746,1322
747,3368
748,3534
749,2428
750,2874
751,3608
752,860
753,2578
754,2238
755,1691
756,2580
757,3779
758,2385
759,2282
760,3338
761,527
762,6951
763,1758
764,2050
765,1462
766,4138
767,1881
768,2057
769,2256
770,1785
771,3300
772,1683
773,5029
774,5458
775,2475
776,4115
777,2478
778,1905
779,2194
780,3047
781,3388
782,2056
783,3090
784,4956
785,2743
786,2569
787,4121
788,2490
789,1942
790,2669
791,4997
792,3083
793,1758
794,7289
795,2648
796,4630
797,4397
798,1822
799,3054
800,2493
801,6060
802,4721
803,2749
804,6382
805,2640
806,2202
807,3784
808,2092
809,4027
810,2482
811,2127
812,4596
813,278
814,3138
815,4017
816,5543
817,2015
818,2605
819,4312
820,2225
821,2226
822,2984
823,3139
824,1934
825,1103
826,5679
827,1287
828,4460
829,2306
830,4706
831,4823
832,1769
833,1128
834,4227
835,2613
836,1968
837,2205
838,882
839,1827
840,2557
841,3011
842,6708
843,3034
844,6733
845,1323
846,1712
847,3462
848,2555
849,3515
850,5607
851,2149
852,2849
853,5930
854,2093
855,1720
856,2356
857,3280
858,1976
859,4776
860,1379
861,2601
862,970
863,2412
864,292
865,3011
866,2267
867,6359
868,3032
869,3584
870,3126
871,4077
872,0
873,3222
874,3300
875,4504
876,2014
877,1744
878,2956
879,3079
880,902
881,2843
882,3761
883,3944
884,8103
885,3363
886,3845
887,3231
888,2230
889,2914
890,5610
891,3018
892,2055
893,1871
894,2188
895,2989
896,3578
897,2471
898,3301
899,2695
900,2103
901,1835
902,6555
903,6940
904,3529
905,4716
906,2249
907,1364
908,4790
909,4433
910,2371
911,2436
912,3719
913,2342
914,2203
915,3198
916,1904
917,2305
918,3096
919,6023
920,1467
921,7174
922,2527
923,1074
924,3354
925,2016
926,2868
927,9530
928,2621
929,3870
930,21734
931,2771
932,5448
933,838
934,1987
935,1892
936,3741
937,2596
938,4194
939,4740
940,816
941,3437
942,1632
